shortcode,username,date_utc,url_thumbnail,url_media,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHivrGKBg5I,albertsons,11/13/2020 19:35,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/125328688_865989823940172_3470928386496194463_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=100&_nc_ohc=i7belAFx7sAAX_LeP9Z&tp=1&oh=c8f18ae2ba76680de1ba86f32f50e8f7&oe=5FE5E46E,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/125328688_865989823940172_3470928386496194463_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=100&_nc_ohc=i7belAFx7sAAX_LeP9Z&tp=1&oh=c8f18ae2ba76680de1ba86f32f50e8f7&oe=5FE5E46E,no,FALSE,,,Today is World Kindness Day! We’ve put together some of our favorite foods to be kind to ourselves and our stomachs... which comfort food are you craving?,0,0,107,6,113,,
,,,,,,,,,,,,,,,,
CHgQYi5F_lH,albertsons,11/12/2020 20:24,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/124625618_3472943326120142_8273757928106428138_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=QvshyldxslIAX83GGhE&tp=1&oh=88cea5f14f1afea0fbbc916febda7103&oe=5FE937E6,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/124625618_3472943326120142_8273757928106428138_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=QvshyldxslIAX83GGhE&tp=1&oh=88cea5f14f1afea0fbbc916febda7103&oe=5FE937E6,no,FALSE,,,Tikka masala anyone? We made extra :grinning_face_with_big_eyes:,0,0,106,8,114,,
,,,,,,,,,,,,,,,,
CHdNYRFAYEr,albertsons,11/11/2020 16:00,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/124439422_173001134454244_1748779935235905409_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=zpfi-2bKrlkAX-rqugL&tp=1&oh=3b5aef62dbd7de76e8fb9deed8a7c0be&oe=5FE5B63D,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/124439422_173001134454244_1748779935235905409_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=zpfi-2bKrlkAX-rqugL&tp=1&oh=3b5aef62dbd7de76e8fb9deed8a7c0be&oe=5FE5B63D,no,FALSE,,,"Today is Veteran’s Day, so we are thanking everyone who has served our country bravely. :red_heart_selector::blue_heart:",0,0,107,4,111,,
,,,,,,,,,,,,,,,,
CHbjv5OnuZ2,albertsons,11/11/2020 0:37,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/124267531_395408258264387_8112664959825290204_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=CAzhNU_FWyoAX-HqxD8&tp=1&oh=cc21a359629c14fdc78403bddb29cbd8&oe=5FE55B61,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/124267531_395408258264387_8112664959825290204_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=CAzhNU_FWyoAX-HqxD8&tp=1&oh=cc21a359629c14fdc78403bddb29cbd8&oe=5FE55B61,no,FALSE,,thesuburbansoapbox,It’s Taco Tuesday! @thesuburbansoapbox has a great way to celebrate –peep our  story  for the  how-to :taco:,0,0,116,5,121,,
,,,,,,,,,,,,,,,,
CHYXBDqghL6,albertsons,11/9/2020 18:48,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/124142203_218972616274611_1257494989504824912_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=w1CTNIg0HEsAX_VyQVf&tp=1&oh=ee4d612ac2768d80e44b5a1254f0ddd5&oe=5FE8324C,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/124142203_218972616274611_1257494989504824912_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=w1CTNIg0HEsAX_VyQVf&tp=1&oh=ee4d612ac2768d80e44b5a1254f0ddd5&oe=5FE8324C,no,FALSE,,,Cheeseboards aren’t just for parties! Mix and match flavors for the family or a festive snack :face_savoring_food:,0,0,92,4,96,,
,,,,,,,,,,,,,,,,
