company,environment_rating,environment_percentage,Country,Sales,Profits,Assets,Market Value,posts_per_year,is_video,is_sponsored,caption,video_view_count,likes,comments,caption_num_words,caption_unique_words,mention_counts,hashtag_counts,emoji_counts,mentions_eco,mentions_eco-friendly,mentions_green,mentions_organic,mentions_clean,mentions_sustainable,mentions_sustainability,mentions_carbon,mentions_emissions,hashtags_eco,hashtags_eco-friendly,hashtags_green,hashtags_organic,hashtags_clean,hashtags_sustainable,hashtags_sustainability,hashtags_carbon,hashtags_emissions,caption_eco,caption_eco-friendly,caption_green,caption_organic,caption_clean,caption_sustainable,caption_sustainability,caption_carbon,caption_emissions,likely_automated,has_location,is_video_0,is_video_1,is_sponsored_0,is_sponsored_1,video_length_0,video_length_1,likes_0,likes_1,comments_0,comments_1,caption_num_words_0,caption_num_words_1,caption_unique_words_0,caption_unique_words_1,mention_counts_0,mention_counts_1,hashtag_counts_0,hashtag_counts_1,emoji_counts_0,emoji_counts_1,is_video_green_diff,is_sponsored_green_diff,video_length_green_diff,likes_green_diff,comments_green_diff,caption_num_words_green_diff,caption_unique_words_green_diff,mention_counts_green_diff,hashtag_counts_green_diff,emoji_counts_green_diff,posts_per_day,captions_per_year
Eversource Energy,51,49,United States,85.26,9.091,411.24,266.58,89,0.123595506,0,89,83.50561798,124.0674157,14.31460674,63.94382022,54.1011236,1.303370787,5.404494382,0.561797753,0.02247191,0,0.011235955,0,0,0,0,0,0,0.011235955,0,0.011235955,0,0,0,0,0,0,0.123595506,0,0.02247191,0,0.033707865,0,0.02247191,0,0.011235955,0.02247191,0.528089888,0.138888889,0.058823529,0,0,10.75526389,1.842647059,126.9583333,111.8235294,14.02777778,15.52941176,62.36111111,70.64705882,52.76388889,59.76470588,1.125,2.058823529,4.888888889,7.588235294,0.638888889,0.235294118,-0.080065359,0,-8.91261683,-15.13480392,1.501633987,8.285947712,7.000816993,0.933823529,2.699346405,-0.403594771,0.262536873,1
Evonik,51,49,Germany,146.72,23.694,261.5,114.64,71,0.084507042,0,71,104.5352113,239.7323944,4.014084507,97.43661972,78.84507042,1.098591549,8.676056338,3.478873239,0,0,0,0,0,0,0,0,0,0.014084507,0,0,0,0.028169014,0,0.014084507,0,0,0.112676056,0,0,0,0.028169014,0,0.014084507,0.014084507,0.014084507,0,0.478873239,0.066666667,0.181818182,0,0,1.273416667,10.426,250.4333333,181.3636364,4.4,1.909090909,100.7,79.63636364,81.31666667,65.36363636,1.066666667,1.272727273,9,6.909090909,3.583333333,2.909090909,0.115151515,0,9.152583333,-69.06969697,-2.490909091,-21.06363636,-15.9530303,0.206060606,-2.090909091,-0.674242424,0.209439528,1
Experian,70,91,Ireland,49.91,7.266,86.27,269.82,134,0.246268657,0,134,229.2238806,62.43283582,8.47761194,42.09701493,36.85074627,1.067164179,2.559701493,1.589552239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052238806,0,0.007462687,0,0,0,0,0,0,0.007462687,0.02238806,0.244094488,0.285714286,0,0,4.870228346,2.428571429,63.13385827,49.71428571,8.748031496,3.571428571,42.11811024,41.71428571,36.81102362,37.57142857,1.070866142,1,2.57480315,2.285714286,1.622047244,1,0.041619798,0,-2.441656918,-13.41957255,-5.176602925,-0.403824522,0.760404949,-0.070866142,-0.289088864,-0.622047244,0.395280236,1
Extra Space Storage,53,53,United States,13.21,4.193,85.32,114.27,155,0.038709677,0.012903226,155,189.2451613,258.0451613,13.69677419,58.17419355,48.70967742,1.064516129,1.425806452,2.090322581,0.058064516,0,0,0,0,0,0,0,0,0.051612903,0,0.006451613,0,0,0,0,0,0,0.470967742,0.025806452,0.238709677,0.012903226,0.096774194,0.006451613,0.012903226,0,0,0,0.025806452,0.01369863,0.06097561,0.02739726,0,0.205013699,1.39104878,282.9178082,235.902439,11.42465753,15.7195122,53.47945205,62.35365854,44.8630137,52.13414634,1.01369863,1.109756098,1.150684932,1.670731707,2.123287671,2.06097561,0.04727698,-0.02739726,1.186035082,-47.01536919,4.294854661,8.874206482,7.271132643,0.096057467,0.520046776,-0.062312061,0.457227139,1
ExxonMobil,47,36,United States,2559.95,143.4,3625.97,1965.88,50,0.14,0,50,800.18,3819.52,152.84,20.7,19.1,1,1.18,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.04,0.08,0.02,0.1,0.162790698,0,0,0,4.989627907,0,3227.116279,7458.571429,132.9534884,275,20.44186047,22.28571429,18.90697674,20.28571429,1,1,1.209302326,1,0.11627907,0,-0.162790698,0,-4.989627907,4231.45515,142.0465116,1.843853821,1.378737542,0,-0.209302326,-0.11627907,0.147492625,1
F.N.B.,48,38,United States,15.41,3.406,350.49,26.47,73,0.698630137,0.02739726,73,2717.424658,139.6575342,19.12328767,26.61643836,24.63013699,1,1.123287671,0.315068493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068493151,0,0,0,0.01369863,0,0,0,0,0.04109589,0.02739726,0.727272727,0.428571429,0.03030303,0,20.52078788,6.365571429,119.1515152,333,18.71212121,23,25.86363636,33.71428571,24.06060606,30,1,1,1.075757576,1.571428571,0.303030303,0.428571429,-0.298701299,-0.03030303,-14.15521645,213.8484848,4.287878788,7.850649351,5.939393939,0,0.495670996,0.125541126,0.215339233,1
Facebook,65,82,United States,733.57,209.58,1383.71,5836.75,85,0.352941176,0,85,9918.635294,2274.317647,321.5176471,98.89411765,73.61176471,1.447058824,1.117647059,0.247058824,0.011764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411764706,0,0,0,0.011764706,0,0.011764706,0,0,0.023529412,0.294117647,0.37704918,0.291666667,0,0,17.02585246,11.380125,2442.147541,1847.75,379.4098361,174.375,89.70491803,122.25,68.31147541,87.08333333,1.459016393,1.416666667,1.081967213,1.208333333,0.245901639,0.25,-0.085382514,0,-5.645727459,-594.397541,-205.0348361,32.54508197,18.77185792,-0.042349727,0.12636612,0.004098361,0.250737463,1
FedEx,66,84,United States,696.66,-3.5,700.14,331.19,58,0.034482759,0,58,1439.5,4041,746.0689655,21.82758621,19.9137931,1.362068966,1.034482759,2.465517241,0.017241379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017241379,0,0.051724138,0,0,0,0,0,0,0.017241379,0.310344828,0.037735849,0,0,0,0.84954717,0,3982.377358,4662.4,765.3773585,541.4,20.94339623,31.2,19.13207547,28.2,1.377358491,1.2,1.037735849,1,2.433962264,2.8,-0.037735849,0,-0.84954717,680.0226415,-223.9773585,10.25660377,9.067924528,-0.177358491,-0.037735849,0.366037736,0.171091445,1
Ferguson,67,87,United Kingdom,221.27,9.876,125.83,161.45,51,0.392156863,0,49,721.6470588,239.1176471,6.411764706,31.01960784,27.64705882,1.019607843,1.254901961,0.591836735,0,0,0.019607843,0,0,0,0,0,0,0.039215686,0,0.019607843,0,0,0,0,0,0,0.12244898,0.020408163,0.102040816,0,0.081632653,0.020408163,0,0,0,0,0,0.425,0.272727273,0,0,4.7633,1.727272727,215.5,325,4.425,13.63636364,29.675,35.90909091,26.275,32.63636364,1,1.090909091,1.125,1.727272727,0.605263158,0.545454545,-0.152272727,0,-3.036027273,109.5,9.211363636,6.234090909,6.361363636,0.090909091,0.602272727,-0.059808612,0.150442478,0.960784314
Ferrari,64,80,Italy,42.16,7.788,61.14,277.45,284,0.228873239,0,284,85238.94014,216868.3556,555.0985915,26.27816901,23.75,1.052816901,2.947183099,0.003521127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017605634,0,0,0,0.003521127,0,0,0.01056338,0,0.01056338,0.035211268,0.216911765,0.5,0,0,16.35177206,35.42533333,216115.011,233944.1667,553.3235294,595.3333333,25.70588235,39.25,23.30147059,33.91666667,1.051470588,1.083333333,2.959558824,2.666666667,0,0.083333333,0.283088235,0,19.07356127,17829.15564,42.00980392,13.54411765,10.61519608,0.031862745,-0.292892157,0.083333333,0.837758112,1
Ferrovial,79,99,Spain,67.76,3,270.62,182.79,100,0.07,0,100,81.41,510.14,6.95,108.94,83.17,1.73,2,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.28,0,0.08,0.01,0.05,0.05,0,0.04,0.03,0.01,0.52,0.081081081,0.038461538,0,0,3.458418919,1.192307692,607.8243243,232.1153846,7.364864865,5.769230769,102.6216216,126.9230769,79.36486486,94,1.824324324,1.461538462,2.108108108,1.692307692,3.540540541,4,-0.042619543,0,-2.266111227,-375.7089397,-1.595634096,24.3014553,14.63513514,-0.362785863,-0.415800416,0.459459459,0.294985251,1
Fifth Third Bank,65,82,United States,90.48,17.68,1853.91,132.94,52,0.25,0,52,131.5961538,93.38461538,11.82692308,57.21153846,46.30769231,1.057692308,1.461538462,0.173076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0.254901961,0,0,0,13.91272549,0,94.54901961,34,11.82352941,12,57.80392157,27,46.70588235,26,1.058823529,1,1.470588235,1,0.176470588,0,-0.254901961,0,-13.91272549,-60.54901961,0.176470588,-30.80392157,-20.70588235,-0.058823529,-0.470588235,-0.176470588,0.15339233,1
First Republic Bank,49,42,United States,42.98,9.224,1239.15,178.64,50,0.52,0,50,264.54,85,2.32,34.04,29.92,1.08,1.16,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0.18,0.531914894,0.333333333,0,0,8.816,3,85.82978723,72,2.382978723,1.333333333,33.76595745,38.33333333,29.57446809,35.33333333,1.085106383,1,1.14893617,1.333333333,0.127659574,0.333333333,-0.19858156,0,-5.816,-13.82978723,-1.04964539,4.567375887,5.758865248,-0.085106383,0.184397163,0.205673759,0.147492625,1
Flex,67,87,Singapore,249.52,-0.25,141.35,49.19,282,0.432624113,0,280,9078.049645,2318.035461,105.0496454,26.54255319,22.86524823,1.790780142,1.411347518,0.614285714,0,0,0,0,0,0,0,0,0,0.007092199,0,0,0,0.003546099,0,0,0,0,0.025,0,0,0,0.007142857,0,0,0,0,0.007092199,0,0.420664207,0.727272727,0,0,27.33426199,232.2906364,2257.265683,3815.181818,102.1070111,177.5454545,25.49815498,52.27272727,22.18819188,39.54545455,1.811808118,1.272727273,1.413284133,1.363636364,0.605947955,0.818181818,0.306608521,0,204.9563744,1557.916136,75.43844348,26.77457229,17.35726266,-0.539080845,-0.049647769,0.212233863,0.831858407,0.992907801
Foot Locker,47,36,United States,80.05,4.98,65.89,26.7,1618,0.155747837,0,1618,32188.92645,44268.42769,227.3195303,16.00185414,15.23671199,1.16131026,1.124845488,0.692212608,0.001236094,0,0.006798517,0,0,0,0,0,0,0,0,0,0,0.009270705,0,0,0,0,0.008652658,0,0.009270705,0.000618047,0.01421508,0.000618047,0.000618047,0,0,0.008652658,0.012978986,0.151670951,0.258064516,0,0,5.155767995,27.76196774,44813.66003,30584.85484,232.2095116,104.5967742,15.68894602,23.85483871,14.96979434,21.93548387,1.120822622,2.177419355,1.123393316,1.161290323,0.688303342,0.790322581,0.106393565,0,22.60619975,-14228.80519,-127.6127374,8.165892694,6.965689526,1.056596733,0.037897006,0.102019239,4.772861357,1
Ford Motor,65,82,United States,1498.78,-30.92,2641.5,202.44,131,0.167938931,0,131,35286.00763,72422.9542,768.0381679,27.75572519,25.22137405,1.030534351,3.572519084,0.381679389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061068702,0,0,0,0,0,0,0,0.007633588,0.007633588,0.007633588,0.147540984,0.444444444,0,0,63.24484426,24.11466667,73320.42623,60257.22222,758.3934426,898.7777778,26.37704918,46.44444444,23.93442623,42.66666667,1.032786885,1,3.590163934,3.333333333,0.401639344,0.111111111,0.296903461,0,-39.1301776,-13063.20401,140.3843352,20.06739526,18.73224044,-0.032786885,-0.256830601,-0.290528233,0.386430678,1
