company,username,esg_company,verified
Hainan Airlines,hainanairlines,"Hainan Airlines Co., Ltd.",Verified
HARLEY-DAVIDSON,harleydavidson,"Harley-Davidson, Inc.",Verified
Hasbro,hasbro,"Hasbro, Inc.",Verified
HCA Healthcare,hcahealthcare,HCA Inc,Verified
HDFC Bank,hdfcbank,HDFC Bank Ltd.,Verified
Heineken,heineken,Heineken NV,Verified
Henkel,henkel,HENKEL KGAA,Verified
H&M,hm,Hennes & Mauritz,Verified
HP,hp,Hewlett Packard Enterprise Co,
Hewlett Packard Enterprise,hpe,Hewlett Packard Enterprise Co,Verified
Hilton,hiltoncarter,HILTON WORLDWIDE HOLDINGS INC.,Verified
Hobby Lobby,hobbylobby,Hobby Lobby,Verified
Hologic,hologic,"Hologic, Inc.",Verified
Home Depot,homedepot,"Home Depot, Inc.",Verified
Honda Motor,hondaukmotorcycles,Honda Motor Company Limited,Verified
Hormel Foods,hormelfoods,Hormel Foods Corporation,Verified
Huawei,huawei,Huawei Technologies,Verified
Humana,humana,Humana Inc.,Verified
Huntington Bank,huntingtonbank,Huntington Bancshares Incorporated,Verified
Hyundai Mobis,hyundaimobisin,Hyundai Mobis,Verified
Hyundai Motor,hyundaiusa,Hyundai Motor Co.,Verified
Hikvision,hikvision,"HZ HIK-VISION DIGITAL TECH. CO.,LTD.",Verified
Iberdrola,iberdrola,Iberdrola Renovables S.A.,Verified
IKEA,ikeausa,IKEA Group,Verified
Indian Bank,myindianbank,Indian Bank Ltd.,Verified
ZARA,zara,Inditex SA,Verified
IndusInd Bank,indusind_bank,IndusInd Bank Limited,Verified
Infosys,infosys,Infosys Technologies,Verified
Intel,intel,Intel Corporation,Verified
Holiday Inn,holidayinn,Intercontinental Hotels Group,Verified
IBM,ibm,International Business Machines Corporation (IBM),Verified
Interpublic Group,interpublicipg,Interpublic Group of Companies,Verified
Intesa Sanpaolo,intesasanpaolo,Intesa Sanpaolo,Verified
Intuit,intuit,Intuit Inc.,Verified
Invesco,invescous,Invesco Ltd.,Verified
ITC,itcosmetics,ITC Holdings Corp,Verified
JM Smucker,jmsmuckerco,J.M. Smucker Co.,Verified
Warby Parker,warbyparker,"JAND, Inc.",Verified
Japan Airlines,japanairlines_jal,Japan Airlines,Verified
Johnson & Johnson,jnj,Johnson & Johnson,Verified
Halyk Bank,halykbank.kz,JSC HALYK BANK,Verified
JSW Steel,jsw.steel,JSW Steel Limited,Verified
JUUL,juulvapor,JUUL Labs Inc,Verified
KB Financial Group,kb.financialgroup,KB Financial Group Inc.,Verified
KIA Motors,kiamotorsusa,Kia Motors Corporation,Verified
Huggies,huggies,Kimberly-Clark Corporation,Verified
Koch Industries,kochindustriesinc,"Koch Industries, Inc.",Verified
Kohl's,kohls,Kohl's Corporation,Verified
Philips,philips,Koninklijke Philips Electronics Na,Verified
Kotak Mahindra Bank,kotakbankltd,Kotak Mahindra Bank Ltd,Verified
Krispy Kreme,krispykreme,"Krispy Kreme Doughnuts, Inc.",Verified
Kroger,krogerco,Kroger Co.,Verified
Kubota,kubotausa,KUBOTA CORPORATION,Verified
Victoria's Secret,victoriassecret,L Brands,Verified
L.L. Bean,llbean,"L.L. Bean, Inc.",Verified
LAND O'LAKES,landolakesinc,Land O'Lakes,Verified
Lego,lego,LEGO,Verified
Levi's,levis,Levi Strauss & Co.,Verified
LG Electronics,lgcanada,LG Electronics Inc.,Verified
LIBERTY MUTUAL INSURANCE GROUP,libertymutual,Liberty Mutual Group,Verified
Lidl,lidlus,Lidl Dienstleistung GmbH & Co KG (Lidl),Verified
LinkedIn,linkedin,LinkedIn Corp.,Verified
Lloyds Banking Group,lloydsbankinggroup,Lloyds TSB Group Plc,Verified
Lockheed Martin,lockheedmartin,Lockheed Martin Corporation,Verified
L'Oréal,loreal,L'Oreal,Verified
Lowe's,loweshomeimprovement,"Lowe's Companies, Inc.",Verified
Louis Vuitton,louisvuitton,LVMH,Verified
Lyft,lyft,Lyft Inc,Verified
Macquarie Group,macquariegroup,Macquarie Group,Verified
Macy's,macys,"Macy's, Inc.",Verified
Makita,makitatools,MAKITA CORPORATION,Verified
Maybank,maybank,Malayan Banking Bhd,Verified
Manulife,manulife,Manulife Financial Corporation,Verified
Marks & Spencer,marksandspencer,Marks and Spencer Group p.l.c.,Verified
Marriott International,marriottintl,"Marriott International, Inc.",Verified
Marshalls,marshalls,Marshalls PLC,Verified
Mastercard,mastercard,MasterCard Inc.,Verified
MATTEL,mattel,"Mattel, Inc.",Verified
Mazda,mazda,MAZDA MOTOR CORPORATION,Verified
Mazda Motor,mazdamotorsports,MAZDA MOTOR CORPORATION,Verified
McCain,mccaincanada,McCain Foods Limited,Verified
McCormick,mccormickspice,"McCormick & Company, Incorporated",Verified
McDonald's,mcdonalds,McDonald's Corporation,Verified
McKinsey,mckinseyco,McKinsey & Company,Verified
MGM Resorts,mgmresortsintl,MGM Resorts International,Verified
Xbox,xbox,Microsoft Corporation,Verified
Microsoft,microsoft,Microsoft Corporation,Verified
Mitsubishi,mitsubishimotors,Mitsubishi Corp.,Verified
Mitsubishi Motors,mitsubishimotors,Mitsubishi Motors Corp.,Verified
Morgan Stanley,morgan.stanley,Morgan Stanley,Verified
National Bank of Canada,nationalbankofcanada,National Bank of Canada,Verified
National Grid,nationalgrid,National Grid plc,Verified
NatWest,natwest,National Westminster Bank Plc (NatWest),Verified
NATIONWIDE,nationwide,"Nationwide Financial Services, Inc.",Verified
NBC,nbc,NBC Universal,Verified
Nedbank,nedbank,Nedbank Group Limited,Verified
Neste,nestletollhouse,Neste Oil OYJ,Verified
Nestle,nestle,Nestle,Verified
Purina,purina,Nestle,Verified
t mobile,tmobile,net mobile AG,Verified
NetEase,netease.games,Netease.com Inc. ADS,Verified
