X,Y,FID,OBJECTID,RANK,INSTAGRAM,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,COUNTY,EMPLOYEES,REVENUES,LATITUDE,LONGITUDE,SOURCE,PRC,COUNTYFIPS,COMMENTS,WEBSITE,PROFIT
-9402686.506,4012344.993,50,50,364,x,HD SUPPLY HOLDINGS,3100 CUMBERLAND BOULEVARD,SUITE 1700,ATLANTA,GA,30339,COBB,14000,7524,33.87735,-84.46577,BING MAPS,ADDRESS,13067,NOT AVAILABLE,HTTP://WWW.HDSUPPLY.COM/,196
-9404601.201,4010282.994,51,51,23,homedepot,HOME DEPOT,2455 PACES FERRY ROAD NW,NOT AVAILABLE,ATLANTA,GA,30339,COBB,406000,94595,33.86197,-84.48297,BING MAPS,ADDRESS,13067,NOT AVAILABLE,HTTPS://WWW.HOMEDEPOT.COM/,7957
-10778352.74,3906051.001,52,52,378,x,ALLIANCE DATA SYSTEMS,7500 DALLAS PARKWAY,SUITE 700,PLANO,TX,75024,COLLIN,17000,7138,33.08093,-96.82359,BING MAPS,ADDRESS,48085,NOT AVAILABLE,HTTPS://WWW.ALLIANCEDATA.COM/,515.8
-10776256.59,3905346.889,53,53,416,x,DR PEPPER SNAPPLE GROUP,5301 LEGACY DRIVE,NOT AVAILABLE,PLANO,TX,75024,COLLIN,20000,6440,33.07563,-96.80476,BING MAPS,ADDRESS,48085,NOT AVAILABLE,HTTPS://WWW.DRPEPPERSNAPPLEGROUP.COM/,847
-10779256.65,3906073.586,54,54,221,jcpenney,J.C. PENNEY,6501 LEGACY DRIVE,NOT AVAILABLE,PLANO,TX,75024,COLLIN,106000,12547,33.0811,-96.83171,BING MAPS,ADDRESS,48085,NOT AVAILABLE,HTTPS://WWW.JCPENNEY.COM/,1
-10779665.19,3905180.831,55,55,399,x,YUM CHINA HOLDINGS,7100 CORPORATE DRIVE,NOT AVAILABLE,PLANO,TX,75024,COLLIN,420000,6752,33.07438,-96.83538,BING MAPS,ADDRESS,48085,NOT AVAILABLE,HTTP://WWW.YUM.COM/COMPANY/OUR-BRANDS/CHINA/,502
-13576490.59,4545340.568,56,56,19,chevron,CHEVRON,6001 BOLLINGER CANYON ROAD,NOT AVAILABLE,SAN RAMON,CA,94583,CONTRA COSTA,55200,107567,37.75832,-121.95969,BING MAPS,ADDRESS,6013,NOT AVAILABLE,HTTPS://WWW.CHEVRON.COM/,-497
-9780286.671,5159316.863,57,57,124,x,US FOODS HOLDING,9399 WEST HIGGINS ROAD,SUITE 500,ROSEMONT,IL,60018,COOK,25000,22919,41.9889,-87.85781,BING MAPS,ADDRESS,17031,NOT AVAILABLE,HTTPS://WWW.USFOODS.COM/,209.8
-9776452.828,5175561.173,58,58,359,x,ANIXTER INTERNATIONAL,2301 PATRIOT BOULEVARD,NOT AVAILABLE,GLENVIEW,IL,60026,COOK,8900,7625,42.09727,-87.82337,BING MAPS,ADDRESS,17031,NOT AVAILABLE,HTTPS://WWW.ANIXTER.COM/EN_US.HTML,120.5
-9778976.441,5174124.045,59,59,202,x,ILLINOIS TOOL WORKS,3600 WEST LAKE AVENUE,NOT AVAILABLE,GLENVIEW,IL,60026,COOK,50000,13599,42.08769,-87.84604,BING MAPS,ADDRESS,17031,NOT AVAILABLE,HTTP://WWW.ITW.COM/,2035
-9781726.032,5175831.221,60,60,84,allstate,ALLSTATE,2775 SANDERS ROAD,NOT AVAILABLE,NORTHBROOK,IL,60062,COOK,43275,36534,42.09907,-87.87074,BING MAPS,ADDRESS,17031,NOT AVAILABLE,HTTPS://WWW.ALLSTATE.COM/,1877
-9753925.771,5143812.947,61,61,106,kraftheinzus,KRAFT HEINZ,200 EAST RANDOLPH STREET,NOT AVAILABLE,CHICAGO,IL,60601,COOK,41000,26487,41.885297,-87.621006,MANUAL,ON-ENTITY,17031,NOT AVAILABLE,HTTP://WWW.KRAFTHEINZCOMPANY.COM/,3632
-9785233.71,5137876.07,62,62,456,x,INGREDION,5 WESTBROOK CORPORATE CENTER,SUITE 500,WESTCHESTER,IL,60154,COOK,11000,5704,41.84558,-87.90225,BING MAPS,ADDRESS,17031,NOT AVAILABLE,HTTPS://WWW.INGREDION.COM/,484.9
-9820999.549,5172994.597,63,63,127,sears,SEARS HOLDINGS,3333 BEVERLY ROAD,NOT AVAILABLE,HOFFMAN ESTATES,IL,60179,COOK,140000,22138,42.08016,-88.22354,BING MAPS,ADDRESS,17031,NOT AVAILABLE,HTTP://WWW.SEARS.COM/,-2221
-9756125.889,5143146.981,64,64,433,motorolaus,MOTOROLA SOLUTIONS,500 WEST MONROE STREET,SUITE 4400,CHICAGO,IL,60661,COOK,14000,6038,41.880843,-87.64077,MANUAL,ON-ENTITY,17031,NOT AVAILABLE,HTTPS://WWW.MOTOROLASOLUTIONS.COM/EN_US.HTML,560
-9753978.536,5143807.414,65,65,391,x,JONES LANG LASALLE,200 EAST RANDOLPH DRIVE,NOT AVAILABLE,CHICAGO,IL,60601,COOK,77300,6804,41.88526,-87.62148,BING MAPS,ADDRESS,17031,NOT AVAILABLE,HTTP://WWW.US.JLL.COM/UNITED-STATES/EN-US,318.2
-9754291.344,5144082.546,66,66,439,x,OLD REPUBLIC INTERNATIONAL,307 NORTH MICHIGAN AVENUE,NOT AVAILABLE,CHICAGO,IL,60601,COOK,8500,5901,41.8871,-87.62429,BING MAPS,ADDRESS,17031,NOT AVAILABLE,HTTP://WWW.OLDREPUBLIC.COM/,466.9
-9754942.563,5143219.796,67,67,89,x,EXELON,10 SOUTH DEARBORN STREET,NOT AVAILABLE,CHICAGO,IL,60603,COOK,34396,31360,41.88133,-87.63014,BING MAPS,ADDRESS,17031,NOT AVAILABLE,HTTP://WWW.EXELONCORP.COM/,1134
-9755878.76,5143551.728,68,68,24,boeing,BOEING,100 NORTH RIVERSIDE PLAZA,NOT AVAILABLE,CHICAGO,IL,60606,COOK,150540,94571,41.88355,-87.63855,BING MAPS,ADDRESS,17031,NOT AVAILABLE,HTTP://WWW.BOEING.COM/,4895
-9754836.587,5144005.239,69,69,388,x,R.R. DONNELLEY & SONS,35 W WACKER DRIVE,NOT AVAILABLE,CHICAGO,IL,60606,COOK,44360,6896,41.886583,-87.629188,MANUAL,ON-ENTITY,17031,NOT AVAILABLE,HTTPS://WWW.RRDONNELLEY.COM/,-495.9
-9755592.669,5142826.575,70,70,83,x,UNITED CONTINENTAL HOLDINGS,233 SOUTH WACKER DRIVE,NOT AVAILABLE,CHICAGO,IL,60606,COOK,88000,36556,41.8787,-87.63598,BING MAPS,ADDRESS,17031,NOT AVAILABLE,HTTPS://WWW.UNITED.COM/UAL/EN/US/,2263
-9756092.493,5143372.304,71,71,304,x,LKQ,500 WEST MADISON STREET,SUITE 2800,CHICAGO,IL,60661,COOK,42500,9082,41.88235,-87.64047,BING MAPS,ADDRESS,17031,NOT AVAILABLE,HTTP://WWW.LKQCORP.COM/EN-US/,464
-8561990.579,4903322.937,72,72,91,riteaid,RITE AID,30 HUNTER LANE,NOT AVAILABLE,CAMP HILL,PA,17011,CUMBERLAND,70580,30737,40.25675,-76.91367,BING MAPS,ADDRESS,42041,NOT AVAILABLE,HTTPS://WWW.RITEAID.COM/,165.5
-9094135.594,5086513.365,73,73,479,x,KEYCORP,127 PUBLIC SQUARE,NOT AVAILABLE,CLEVELAND,OH,44114,CUYAHOGA,15700,5422,41.50094,-81.69401,BING MAPS,ADDRESS,39035,NOT AVAILABLE,HTTPS://WWW.KEY.COM/PERSONAL/INDEX.JSP?KEY=COM,791
-9094088.84,5085997.615,74,74,236,sherwinwilliams,SHERWIN-WILLIAMS,101 WEST PROSPECT AVENUE,SUITE 1020,CLEVELAND,OH,44115,CUYAHOGA,42550,11856,41.49747,-81.69359,BING MAPS,ADDRESS,39035,NOT AVAILABLE,HTTPS://WWW.SHERWIN-WILLIAMS.COM/,1132.7
-9068191.474,5087396.298,75,75,251,x,PARKER-HANNIFIN,6035 PARKLAND BOULEVARD,NOT AVAILABLE,CLEVELAND,OH,44124,CUYAHOGA,48950,11361,41.50688,-81.46095,BING MAPS,ADDRESS,39035,NOT AVAILABLE,HTTP://WWW.PARKER.COM/PORTAL/SITE/PARKER/,806.8
-9067146.184,5091880.589,76,76,120,progressive,PROGRESSIVE,6300 WILSON MILLS ROAD,NOT AVAILABLE,MAYFIELD VILLAGE,OH,44143,CUYAHOGA,31721,23441,41.53704,-81.45156,BING MAPS,ADDRESS,39035,NOT AVAILABLE,HTTPS://WWW.PROGRESSIVE.COM/,1031
-9116416.19,5079907.316,77,77,470,x,TRAVELCENTERS OF AMERICA,24601 CENTER RIDGE ROAD,SUITE 200,WESTLAKE,OH,44145,CUYAHOGA,20259,5511,41.45648,-81.89416,BING MAPS,ADDRESS,39035,NOT AVAILABLE,HTTPS://WWW.TA-PETRO.COM/,-2
-10359706.85,5600989.281,78,78,93,x,CHS,5500 CENEX DRIVE,NOT AVAILABLE,INVER GROVE HEIGHT,MN,55077,DAKOTA,12157,30347,44.86943,-93.06283,BING MAPS,ADDRESS,27037,NOT AVAILABLE,HTTP://WWW.CHSINC.COM/,424.2
-10368592.37,5600675.142,79,79,466,x,PATTERSON,1031 MENDOTA HEIGHTS ROAD,NOT AVAILABLE,SAINT PAUL,MN,55120,DAKOTA,7000,5555,44.86743,-93.14265,BING MAPS,ADDRESS,27037,NOT AVAILABLE,HTTPS://WWW.PATTERSONCOMPANIES.COM/HOME/DEFAULT.ASPX,187.2
-10792452.46,3878050.72,80,80,155,x,KIMBERLY-CLARK,351 PHELPS DRIVE,NOT AVAILABLE,IRVING,TX,75038,DALLAS,42000,18202,32.86992,-96.95025,BING MAPS,ADDRESS,48113,NOT AVAILABLE,HTTPS://WWW.KIMBERLY-CLARK.COM/EN-US,2166
-10791758.94,3878257.481,81,81,484,x,CELANESE,222 WEST LAS COLINAS BOULEVARD,NOT AVAILABLE,IRVING,TX,75039,DALLAS,7293,5389,32.87148,-96.94402,BING MAPS,ADDRESS,48113,NOT AVAILABLE,HTTPS://WWW.CELANESE.COM/,900
-10792399.03,3880740.228,82,82,4,exxonmobil,EXXON MOBIL,5959 LAS COLINAS BOULEVARD,NOT AVAILABLE,IRVING,TX,75039,DALLAS,72700,205004,32.89021,-96.94977,BING MAPS,ADDRESS,48113,NOT AVAILABLE,HTTP://CORPORATE.EXXONMOBIL.COM/,7840
-10792392.35,3882477.004,83,83,149,x,FLUOR,6700 LAS COLINAS BOULEVARD,NOT AVAILABLE,IRVING,TX,75039,DALLAS,61551,19037,32.90331,-96.94971,BING MAPS,ADDRESS,48113,NOT AVAILABLE,HTTP://WWW.FLUOR.COM/,281.4
-10794017.61,3881819.386,84,84,499,x,VISTRA ENERGY,6555 SIERRA DRIVE,NOT AVAILABLE,IRVING,TX,75039,DALLAS,4431,5164,32.89835,-96.96431,BING MAPS,ADDRESS,48113,NOT AVAILABLE,HTTPS://WWW.VISTRAENERGY.COM/,-99999
-10796692.62,3884038.997,85,85,496,michaelscos,MICHAELS COS.,8000 BENT BRANCH DRIVE,NOT AVAILABLE,IRVING,TX,75063,DALLAS,31000,5197,32.91509,-96.98834,BING MAPS,ADDRESS,48113,NOT AVAILABLE,HTTP://WWW.MICHAELS.COM/,378.2
-10775321.51,3866835.385,86,86,421,x,BUILDERS FIRSTSOURCE,2001 BRYAN STREET,SUITE 1600,DALLAS,TX,75201,DALLAS,14000,6367,32.78526,-96.79636,BING MAPS,ADDRESS,48113,NOT AVAILABLE,HTTPS://WWW.BLDR.COM/,144.3
-10776637.3,3868056.286,87,87,274,x,HOLLYFRONTIER,2828 NORTH HARWOOD,SUITE 1300,DALLAS,TX,75201,DALLAS,2676,10536,32.79448,-96.80818,BING MAPS,ADDRESS,48113,NOT AVAILABLE,HTTPS://WWW.HOLLYFRONTIER.COM/HOME/DEFAULT.ASPX,-260.5
-10775648.79,3866067.421,88,88,9,att,AT&T,208 SOUTH AKARD STREET,NOT AVAILABLE,DALLAS,TX,75202,DALLAS,268540,163786,32.77946,-96.7993,BING MAPS,ADDRESS,48113,NOT AVAILABLE,HTTPS://WWW.ATT.COM/WIRELESS/,12976
